type,ids,lat,lng,id
Major overhaul,"[11203, 11895]",56.1254875,47.279416999999995,45
Major overhaul,"[11208, 11931]",56.119138500000005,47.191018,46
Major overhaul,"[11274, 11488]",56.120166,47.27735,47
Major overhaul,"[12058, 12253]",56.129785500000004,47.283083000000005,48
Major overhaul,"[12403, 13512]",56.1009375,47.2753725,49
Major overhaul,"[12439, 16117]",56.12902,47.2860875,50
school,"[10017, 11918, 11963]",56.12362100000001,47.180389999999996,51
school,"[10692, 10937, 11432, 11656, 11873]",56.116233,47.216286600000004,52
Playground,"[10036, 10393, 10581, 10758, 12595]",56.1240504,47.19677780000001,53
Playground,"[10061, 11164, 13206]",56.10586833333334,47.31631166666667,54
Playground,"[10065, 10685, 11666]",56.14291466666666,47.17983966666667,55
Playground,"[10068, 11463]",56.1262215,47.223719,56
Playground,"[10071, 10986, 12173, 12809, 13163]",56.1389284,47.1627814,57
Playground,"[10083, 10162, 10395]",56.14673966666667,47.169163000000005,58
Playground,"[10156, 10187, 11034, 11858, 12440, 13003]",56.1283685,47.268633333333334,59
Playground,"[10194, 10327, 10689, 10772, 10826, 11078, 11202, 11260, 12700, 13380]",56.1280567,47.2826557,60
Playground,"[10220, 10305, 11123, 11493, 11957, 11998, 12447]",56.10177685714286,47.30534128571429,61
Playground,"[10246, 11428, 11595]",56.12318133333334,47.27665466666667,62
Playground,"[10309, 10593, 10657, 10710, 10736, 11716, 12298, 13493, 16262, 16317]",56.1071493,47.2656549,63
Playground,"[10329, 10334, 10811, 11363, 12156, 12471]",56.104548333333334,47.283991333333326,64
Playground,"[10338, 12232]",56.099720999999995,47.218527,65
Playground,"[10366, 12437, 12737]",56.13804799999999,47.31100366666667,66
Playground,"[10371, 11010, 11171, 11528, 11775, 11964, 12111, 12139, 12404, 12488, 13228, 13484, 13510]",56.121308,47.181482230769234,67
Playground,"[10372, 11286, 12121, 12137, 13359]",56.11246,47.2404486,68
Playground,"[10475, 10814, 13451]",56.069221666666664,47.223455666666666,69
Playground,"[10596, 13168]",56.110580000000006,47.188126,70
Playground,"[10679, 10786, 10832, 11794]",56.1167655,47.218322,71
Playground,"[10800, 11075, 11231, 11673, 16340]",56.089522599999995,47.2781296,72
Playground,"[10946, 12276]",56.1334655,47.2785945,73
Playground,"[10978, 11953, 12610, 13202]",56.1062395,47.300449,74
Playground,"[11655, 12241]",56.143237,47.26653949999999,75
Playground,"[11878, 16078]",56.1291085,47.2581155,76
Playground,"[12230, 13280]",56.128787,47.345555000000004,77
Playground,"[12354, 12897, 13267]",56.103801999999995,47.180116,78
Playground,"[12642, 13079]",56.122730000000004,47.378021000000004,79
Playground,"[16142, 16223]",56.098927,47.283284,80
Parking,"[10040, 10102, 10212, 10876, 11986, 12421, 12613, 13148, 13190]",56.10292311111111,47.298266222222225,81
Parking,"[10209, 11069, 11118, 12038, 13000, 13085, 13309]",56.1217647142857,47.18801514285714,82
Parking,"[10235, 11373, 13334, 16146]",56.125308,47.269513749999994,83
Parking,"[10720, 12886, 16228]",56.145720000000004,47.17664433333334,84
Parking,"[12419, 13271, 16283]",56.10674133333333,47.26559966666667,85
