,id,lat,lon,type
0,1911249,56.122413775,47.26749124999999,leisure
1,1911542,56.136123325,47.244964075,leisure
2,1911543,56.13637237499999,47.275170975,leisure
3,1924305,56.115090425,47.250184950000005,leisure
4,2410397,56.086517099999995,47.3090125,leisure
5,2447632,56.12758763500001,47.287268024999996,leisure
6,2449319,56.14814682500001,47.2247544875,leisure
7,2511057,56.13586975,47.2465441,leisure
8,2666303,56.1387137,47.352837075000004,leisure
9,2741613,56.13689118,47.187603280000005,leisure
10,3193774,56.108785575,47.179606424999996,leisure
11,3193776,56.10819604444444,47.17257045555556,leisure
12,3202913,56.14573716666666,47.19056646666667,leisure
13,3435050,56.14396334285714,47.24006881428571,leisure
14,3435053,56.143957275,47.240221424999994,leisure
15,3435054,56.14394468888889,47.2404645888889,leisure
16,3436887,56.14790503200001,47.26838532,leisure
17,3437398,56.11640047179486,47.25160976666667,leisure
18,5251157,56.10063678,47.26184564,leisure
19,6179132,56.106346259090905,47.26310730909092,leisure
20,7001086,56.14968193947369,47.20884886842106,leisure
21,7135513,56.11567819999999,47.25838800799999,leisure
22,7580692,56.1520102,47.25266832727273,leisure
23,7607683,56.136528999999996,47.23458396666666,leisure
24,7607684,56.13771476470589,47.2301826235294,leisure
25,7615668,56.15232648181818,47.25151449999999,leisure
26,7811061,56.13198332727273,47.16354020909092,leisure
27,7887797,56.12642889999999,47.38813965,leisure
28,7887798,56.1254286,47.3885637125,leisure
29,7887802,56.127148375000004,47.388220475,leisure
30,7887803,56.127439100000004,47.388434375,leisure
31,7892559,56.14104581666666,47.24648451666667,leisure
32,7892563,56.13983834166667,47.24850974166667,leisure
33,7893659,56.146813676470586,47.22426452941176,leisure
34,7893660,56.146967999999994,47.22527341666666,leisure
35,7901363,56.140521762499986,47.170183137500004,leisure
36,9755266,56.14273100769231,47.205101030769235,leisure
37,9975543,56.13838105,47.32685445,leisure
38,12026855,56.118748316666675,47.26263549166666,leisure
39,12548424,56.1174276,47.27849985,leisure
40,12548425,56.11737325,47.2786959,leisure
41,12904371,56.14635423888889,47.23731613333334,leisure
0,1925556,56.1133788875,47.25932465625,parkings
1,2022509,56.145877039999995,47.257657800000004,parkings
2,2022510,56.14663289999999,47.256146261538454,parkings
3,2447631,56.12858113333334,47.28856856666667,parkings
4,2447633,56.124678408333324,47.28422172916666,parkings
5,2448113,56.11783675,47.1966611,parkings
6,2449318,56.14882514285715,47.202683314285714,parkings
7,2570475,56.1116094,47.27468862,parkings
8,2615619,56.14914554285714,47.18541665714286,parkings
9,2773204,56.122936328571434,47.20223188571429,parkings
10,2933059,56.1319283,47.299652725,parkings
11,2933152,56.12968586666667,47.300202476190485,parkings
12,3078761,56.135747143939376,47.239572562121225,parkings
13,3180722,56.12792674444445,47.32515168148148,parkings
14,3180917,56.108408475,47.295009449999995,parkings
15,3276945,56.143874455,47.204999240000014,parkings
16,3297381,56.08213940000001,47.32012897142857,parkings
17,3311565,56.1445283,47.19961217142857,parkings
18,3311921,56.141640737500005,47.1985348125,parkings
19,3436553,56.11353833636363,47.26368753636364,parkings
20,3436648,56.112524631034496,47.266645910344835,parkings
21,3436775,56.146878975,47.24282645,parkings
22,3436847,56.14478355,47.246807175,parkings
23,3436907,56.111983325,47.26222065,parkings
24,3436909,56.11248295,47.262727775,parkings
25,3436910,56.11156659999999,47.26205048,parkings
26,3436936,56.13785833333333,47.24095685555556,parkings
27,3436937,56.136653499999994,47.2413321875,parkings
28,3437154,56.13586833636364,47.24138963636363,parkings
29,3437408,56.113224723404265,47.24803724680851,parkings
30,3437409,56.143733850000004,47.273126675,parkings
31,3437411,56.095057700000005,47.2612762,parkings
32,3437412,56.11367202499999,47.24366785000001,parkings
33,3460704,56.0939204,47.26453382222222,parkings
34,3468815,56.14740184,47.239744099999996,parkings
35,3468816,56.14748877222221,47.23860861666666,parkings
36,3471264,56.110739814285715,47.1832584,parkings
37,3471267,56.109897609090915,47.18333192727273,parkings
38,3472979,56.118452775,47.18418115000001,parkings
39,3473160,56.116559259999995,47.1771032,parkings
40,3473161,56.116727511111115,47.17574027777777,parkings
41,3534356,56.11154628999999,47.26776528500001,parkings
42,4048342,56.099895319999995,47.26221846,parkings
43,4095183,56.102690375,47.25527275,parkings
44,4133034,56.14618033999999,47.20293306,parkings
45,4183768,56.12471288571429,47.25077907142857,parkings
46,4247913,56.055145141666664,47.280501375,parkings
47,4287983,56.13769463000001,47.207025120000004,parkings
48,4287986,56.144204599999995,47.195774125,parkings
49,4653574,56.101652742857134,47.261998657142854,parkings
50,4847984,56.148749425,47.173471725,parkings
51,5231096,56.13664910000001,47.2795234,parkings
52,5474531,56.12392022499999,47.25831032,parkings
53,5583745,56.133781905555544,47.24282354444445,parkings
54,5667373,56.0964837,47.27319935,parkings
55,5823049,56.13745826666667,47.27474783333333,parkings
56,5823050,56.134309425,47.27486575,parkings
57,5823054,56.13937298571428,47.28438308571429,parkings
58,5823055,56.13546882857143,47.278891742857134,parkings
59,5840224,56.132066116666664,47.275921616666665,parkings
60,5840225,56.1227491125,47.273783275,parkings
61,5840226,56.12714938421052,47.27477022105263,parkings
62,5851471,56.14168138333333,47.185627649999994,parkings
63,5853022,56.130660160000005,47.26477844,parkings
64,5853023,56.129656062500004,47.269630912500006,parkings
65,5857400,56.12100787777778,47.267192333333334,parkings
66,5857401,56.12231575714286,47.27045951428571,parkings
67,5875078,56.12117598,47.26565032,parkings
68,5875079,56.12202061666667,47.264187416666665,parkings
69,5878057,56.12298195714285,47.24646515714285,parkings
